Advertisement		= Reklame
Battle Plan		= Kampfplanung
Battle Program		= Kampfprogramm
Character Design	= Figurendesign
Character Graphic	= Figurengrafik
Director		= Regie
Effect Graphic		= Graf. Effekte
Event Plan		= Ereignisse
Executive Producer	= Ausf. Produzenten
Field Graphic		= Kartengrafik
Field Plan		= Kartenplanung
Field Program		= Kartenprogramm
Graphic Director	= Leitung Grafik
Main Program		= Hauptprogramm
Map Design		= Kartendesign
Menu Program		= Menueprogramm
Monster Graphic		= Gegnergrafik
Music			= Musik
Producer		= Produktion
Remake Staff		= US Engl. Version
Sound Effect		= Toneffekte
Sound Engineer		= Tontechnik
Sound Program		= Musikprogramm
Story Plan		= Storyplanung
Supervisor		= Produkt.Leitung
System Engineer		= Systemtechnik
Test Coordinator	= Test Koordination
Translator		= US Engl. Version
Visual Program		= Grafikprogramm
Worldmap Program	= Kartenprogramm
