Producer		= Produktion
Director		= Regie
Character Design	= Figurendesign
Supervisor		= Produkt.Leitung
Music			= Musik
Main Program		= Hauptprogramm
Sound Program		= Musikprogramm
Sound Engineer		= Tontechnik
Graphic Director	= Leitung Grafik
Story Plan		= Storyplanung
Event Plan		= Ereignisse
Field Plan		= Kartenplanung
Battle Plan		= Kampfplanung
Battle Program		= Kampfprogramm
Field Program		= Kartenprogramm
Worldmap Program	= Kartenprogramm
Menu Program		= Menueprogramm
Visual Program		= Grafikprogramm
Effect Graphic		= Graf. Effekte
Field Graphic		= Kartengrafik
Character Graphic	= Figurengrafik
Monster Graphic		= Gegnergrafik
Map Design		= Kartendesign
Executive Producer	= Ausf. Produzenten
Sound Effect		= Toneffekte
Advertisement		= Reklame
System Engineer		= Systemtechnik
Test Coordinator	= Test Koordination
Remake Staff		= US Engl. Version
Translator		= US Engl. Version
